,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
1,0_interview_data_conducted_participant,0,"['interview', 'data', 'conducted', 'participant', 'analysis', 'project', 'semi structured', 'structured', 'semi', 'question']",2020,Sharing among neighbours in a Norwegian suburb,37,"Westskog H., Aase T.H., Standal K., Tellefsen S."
2,1_university_student_school_stanford,1,"['university', 'student', 'school', 'stanford', 'organization', 'faculty', 'college', 'year', 'program', 'campus']",2010,Chapter 23: The Stanford organizational studies community: Reflections of a tempered radical,28,Meyerson D.E.
3,2_complexity_system_approach_process,2,"['complexity', 'system', 'approach', 'process', 'research', 'sustainability', 'framework', 'problem', 'study', 'transition']",2020,SHIFT IN HYBRIDITY IN RESPONSE TO ENVIRONMENTAL COMPLEXITY: THE TRANSFORMATION OF THE ITALIAN GUARDIA DI FINANZA,69,"Ramus T., Vaccaro A., Versari P., Brusoni S."
4,3_sustainability_research_student_science,3,"['sustainability', 'research', 'student', 'science', 'program', 'course', 'university', 'curriculum', 'researcher', 'project']",2021,The patterns of curriculum change processes that embed sustainability in higher education institutions,16.0,"Weiss M., Barth M., von Wehrden H."
5,4_area_land_water_scenario,4,"['area', 'land', 'water', 'scenario', 'forest', 'region', 'change', 'population', 'river', 'ecosystem']",2019,The seasonal and scale-dependent associations between vegetation quality and hiking activities as a recreation service,14.0,"Aiba M., Shibata R., Oguro M., Nakashizuka T."
6,5_transformation_actor_change_transition,5,"['transformation', 'actor', 'change', 'transition', 'process', 'system', 'role', 'network', 'research', 'transformative']",2020,Market formation in the context of transitions: A comment on the transitions agenda,34,"Boon W.P.C., Edler J., Robinson D.K.R."
7,6_transition_energy_policy_carbon,6,"['transition', 'energy', 'policy', 'carbon', 'uk', 'low', 'innovation', 'technology', 'change', 'study']",2012,Understanding energy transitions,7.0,"Berkhout F., Marcotullio P., Hanaoka T."
8,7_theory_organization_institutional_volume,7,"['theory', 'organization', 'institutional', 'volume', 'organizational', 'scholar', 'institution', 'research', 'work', 'theoretical']",2020,Rediscovering the power of institutions: The macrofoundations of institutional analysis,,"Höllerer M.A., Schneiberg M., Thornton P.H., Zietsma C., Wang M.S."
9,8_island_area_coast_beach,8,"['island', 'area', 'coast', 'beach', 'delta', 'coastal', 'shoreline', 'reef', 'rise', 'change']",2020,"Changes in the potential stocks of coral reef ecosystem services following coral bleaching in Sekisei Lagoon, southern Japan: implications for the future under global warming",15.0,"Sato M., Nanami A., Bayne C.J., Makino M., Hori M."
10,9_emission_scenario_reduction_carbon,9,"['emission', 'scenario', 'reduction', 'carbon', 'energy', 'sector', 'gas', 'increase', 'mitigation', 'cost']",2012,Sectoral marginal abatement cost curves: Implications for mitigation pledges and air pollution co-benefits for Annex I countries,7.0,"Wagner F., Amann M., Borken-Kleefeld J., Cofala J., Höglund-Isaksson L., Purohit P., Rafaj P., Schöpp W., Winiwarter W."
