,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
1,0_interview_data_conducted_structured,0,"['interview', 'data', 'conducted', 'structured', 'analysis', 'semi structured', 'interviewee', 'semi', 'study', 'project']",2011,Effects of third-party information on the demand for more sustainable consumption: A choice experiment on the transition of winter tourism,1,"Luthea T., Schläpfer F."
2,1_biofuels_fuel_bioeconomy_market,1,"['biofuels', 'fuel', 'bioeconomy', 'market', 'technology', 'industry', 'ethanol', 'policy', 'development', 'biofuel']",2021,Coordination and legitimacy in the Australian biofuels innovation system 1979 - 2017,38,"Cox S., Parker R., O'Hara I., Sinclair S."
3,2_transition_research_sustainability_political,2,"['transition', 'research', 'sustainability', 'political', 'change', 'process', 'policy', 'legitimacy', 'politics', 'power']",2021,Elite vs. mass politics of sustainability transitions,41,"Schmid N., Beaton C., Kern F., McCulloch N., Sugathan A., Urpelainen J."
4,3_actor_transition_change_process,3,"['actor', 'transition', 'change', 'process', 'system', 'role', 'understanding', 'practice', 'niche', 'study']",2021,Research frontiers for multi-system dynamics and deep transitions,41,"Kanger L., Schot J., Sovacool B.K., van der Vleuten E., Ghosh B., Keller M., Kivimaa P., Pahker A.-K., Steinmueller W.E."
5,4_farmer_farming_farm_food,4,"['farmer', 'farming', 'farm', 'food', 'animal', 'change', 'dairy', 'agriculture', 'level', 'agricultural']",2022,Veganism and plant-based protein crops: Contentious visioning almost obstructing a transition,42,Koole B.
6,5_transition_study_framework_research,5,"['transition', 'study', 'framework', 'research', 'literature', 'innovation', 'sustainability', 'system', 'niche', 'change']",2017,Exploring window of opportunity dynamics in infrastructure transformation,25,"Tongur S., Engwall M."
7,6_case_study_analysis_research,6,"['case', 'study', 'analysis', 'research', 'data', 'innovation', 'literature', 'investigation', 'selected', 'question']",2019,The diffusion of environmental product and service innovations: Driving and inhibiting factors,31,"Clausen J., Fichter K."
8,7_service_time_project_economy,7,"['service', 'time', 'project', 'economy', 'company', 'issue', 'user', 'practice', 'social', 'place']",2018,Systems of practice and the Circular Economy: Transforming mobile phone product service systems,26,"Hobson K., Lynch N., Lilley D., Smalley G."
9,8_car_vehicle_battery_sharing,8,"['car', 'vehicle', 'battery', 'sharing', 'technology', 'electric', 'mobility', 'transport', 'market', 'emission']",2017,Mobility and environmental impacts of car sharing in the Netherlands,23,"Nijland H., van Meerkerk J."
10,9_coal_energy_technology_policy,9,"['coal', 'energy', 'technology', 'policy', 'renewable', 'country', 'electricity', 'germany', 'power', 'clean']",2014,"Do lead markets for clean coal technology follow market demand? A case study for China, Germany, Japan and the US",10,"Horbach J., Chen Q., Rennings K., Vögele S."
11,10_solar_energy_grid_industry,10,"['solar', 'energy', 'grid', 'industry', 'market', 'development', 'government', 'model', 'sector', 'policy']",2019,Incumbent resistance and the solar transition: Changing opportunity structures and framing strategies,33,"Lee D., Hess D.J."
